Name,ATCC Number,Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
Staphylococcus epidermidis,ATCC 12228,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Streptococcus gordonii,ATCC 10558,Patient with subacute bacterial endocarditis,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=10558,https://www.atcc.org/products/10558
Streptococcus gordonii,ATCC 10558,Patient with subacute bacterial endocarditis,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=10558,https://www.atcc.org/products/10558
#2,NBF,N/A,N/A,N/A,N/A,N/A,N/A,N/A
#2,NBF,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Staphylococcus aureus,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Presum. Acid Fast Bacilli,ATCC 607,Human,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=607,https://www.atcc.org/products/607
Presum. Acid Fast Bacilli,ATCC 607,Human,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=607,https://www.atcc.org/products/607
Streptococcus mutans,ATCC 25175,Carious dentine,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25175,https://www.atcc.org/products/25175
Streptococcus mutans,ATCC 25175,Carious dentine,ATCC Medium 44: Brain Heart Infusion Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25175,https://www.atcc.org/products/25175
Staphylococcus aureus 10/2,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Staphylococcus aureus 10/2,ATCC 25923,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
Escherichia coli,ATCC 25922,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25922,https://www.atcc.org/products/25922
Escherichia coli,ATCC 25922,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=25922,https://www.atcc.org/products/25922
Serratia marcescens , subsp marcescens,Pond water,ATCC Medium 3: Nutrient agar or nutrient broth,26°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=13880,https://www.atcc.org/products/13880
