Organism Source,"Strain (Genus, species)",Isolation Source (Where found),Culture Medium,Incubation Temperature,Atmosphere,Biosafety Level,Product Sheet,ATCC Product Link
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 12228,Staphylococcus epidermidis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
ATCC 12228,Staphylococcus epidermidis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 49456,Streptococcus mitis/oralis,N/A,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=49456,https://www.atcc.org/products/49456
ATCC 49456,Streptococcus mitis/oralis,N/A,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,"95% Air, 5% CO2",BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=49456,https://www.atcc.org/products/49456
ATCC 12228,Staphylococcus epidermidis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
ATCC 12228,Staphylococcus epidermidis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
ATCC 12228,Staphylococcus epidermidis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
ATCC 12228,Staphylococcus epidermidis,N/A,ATCC Medium 3: Nutrient agar or nutrient broth,37°C,Aerobic,BSL 1,https://www.atcc.org/api/pdf/product-sheet?id=12228,https://www.atcc.org/products/12228
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 25923,Staphylococcus aureus,Clinical isolate,ATCC Medium 18: Trypticase Soy Agar/Broth,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=25923,https://www.atcc.org/products/25923
ATCC 10558,Streptococcus gordonii,Patient with subacute bacterial endocarditis,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=10558,https://www.atcc.org/products/10558
ATCC 10558,Streptococcus gordonii,Patient with subacute bacterial endocarditis,ATCC Medium 44: Brain Heart Infusion Agar/BrothATCC Medium 260: Trypticase soy agar/broth with defibrinated sheep blood,37°C,Aerobic,BSL 2,https://www.atcc.org/api/pdf/product-sheet?id=10558,https://www.atcc.org/products/10558
NBF,#2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
